state,2021,2022
AL,5049846,5074296
AK,734182,733583
AZ,7264877,7359197
AR,3028122,3045637
CA,39142991,39029342
CO,5811297,5839926
CT,3623355,3626205
DE,1004807,1018396
DC,668791,671803
FL,21828069,22244823
GA,10788029,10912876
HI,1447154,1440196
ID,1904314,1939033
IL,12686469,12582032
IN,6813532,6833037
IA,3197689,3200517
KS,2937922,2937150
KY,4506589,4512310
LA,4627098,4590241
ME,1377238,1385340
MD,6174610,6164660
MA,6989690,6981974
MI,10037504,10034113
MN,5711471,5717184
MI,2949586,2940057
MS,6169823,6177957
MO,1106227,1122867
NE,1963554,1967923
NV,3146402,3177772
NH,1387505,1395231
NJ,9267961,9261699
NM,2116677,2113344
NY,19857492,19677151
NC,10565885,10698973
ND,777934,779261
OH,11764342,11756058
OK,3991225,4019800
OR,4256301,4240137
PA,13012059,12972008
RI,1096985,1093734
SC,5193266,5282634
SD,896164,909824
TN,6968351,7051339
TX,29558864,30029572
UT,3339113,3380800
VT,646972,647064
VA,8657365,8683619
WA,7740745,7785786
WV,1785526,1775156
WI,5880101,5892539
WY,579483,581381
